# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
8.440000000e+02  0.79528  0.87188  1.00000  0.94115  0.96911
8.430000000e+02  0.41205  0.87152  1.00000  0.49090  0.96238
8.420000000e+02  0.49616  0.86998  1.00000  0.59856  0.95301
8.410000000e+02  0.62200  0.86647  1.00000  0.76400  0.93945
8.400000000e+02  0.62906  0.86997  1.00000  0.78601  0.91881
8.390000000e+02  0.70814  0.86832  1.00000  0.92122  0.88530
8.380000000e+02  0.61666  0.87034  1.00000  0.85804  0.82617
8.370000000e+02  0.56161  0.86948  1.00000  0.90891  0.71052
8.360000000e+02  0.38558  0.87102  1.00000  0.95234  0.46567
8.350000000e+02  0.08789  0.87137  1.00000  0.89009  0.11820
8.340000000e+02  0.00179  0.87084  1.00000  0.94919  0.00230
8.330000000e+02  0.15999  0.86917  1.00000  0.87681  0.21432
8.320000000e+02  0.42886  0.86734  1.00000  0.88719  0.55926
8.310000000e+02  0.54849  0.86528  1.00000  0.84365  0.75196
8.300000000e+02  0.70924  0.86273  1.00000  0.97032  0.84624
8.290000000e+02  0.76223  0.85878  1.00000  0.99072  0.89588
8.280000000e+02  0.76467  0.84586  1.00000  0.97785  0.92458
8.270000000e+02  0.73780  0.82770  1.00000  0.94665  0.94237
8.260000000e+02  0.70390  0.84984  1.00000  0.86920  0.95330
8.250000000e+02  0.80098  0.85314  1.00000  0.97553  0.96234
8.240000000e+02  0.82142  0.85282  1.00000  0.99445  0.96856
8.230000000e+02  0.82610  0.85165  1.00000  0.99692  0.97300
8.220000000e+02  0.82775  0.85015  1.00000  0.99727  0.97632
8.210000000e+02  0.82796  0.84849  1.00000  0.99688  0.97886
8.200000000e+02  0.79808  0.84674  1.00000  0.96095  0.98083
8.190000000e+02  0.82323  0.84492  1.00000  0.99181  0.98238
